"x" "y" "z"
0 0.0125 0
0 0.0375 0
0 0.0625 0
0 0.0875 0
0 0.1125 0.4
0 0.1375 7
0 0.1625 14.4
0 0.1875 22.4
0 0.2125 38.8
0 0.2375 48.8
0 0.2625 92
0 0.2875 152
0 0.3125 197.6
0 0.3375 190.8
0 0.3625 95.8
0 0.3875 29.8
0 0.4125 8.6
0 0.4375 6
0 0.4625 3.8
0 0.4875 2.8
0 0.5125 3.2
0 0.5375 3.6
0 0.5625 1.6
0 0.5875 1.8
0 0.6125 1
0 0.6375 1.8
0 0.6625 2.2
0 0.6875 2.4
0 0.7125 2
0 0.7375 2.2
0 0.7625 2.8
0 0.7875 3.6
0 0.8125 3.2
0 0.8375 5.6
0 0.8625 7.4
0 0.8875 9.6
0 0.9125 10.6
0 0.9375 10.4
0 0.9625 13.8
0 0.9875 17.6
0 1.0125 16.8
0 1.0375 17.4
0 1.0625 15.6
0 1.0875 17.8
0 1.1125 17.2
0 1.1375 12.8
0 1.1625 15.4
0 1.1875 14.8
0 1.2125 14.6
0 1.2375 10
0 1.2625 7.6
0 1.2875 7.4
0 1.3125 7.2
0 1.3375 6.8
0 1.3625 4.8
0 1.3875 5.2
0 1.4125 6.6
0 1.4375 4.2
0 1.4625 6.6
0 1.4875 5.4
0 1.5125 4
0 1.5375 6
0 1.5625 4
0 1.5875 4
0 1.6125 2.4
0 1.6375 1
0 1.6625 0.4
0 1.6875 0.6
0 1.7125 0.8
0 1.7375 0.6
0 1.7625 0.2
0 1.7875 0.2
0 1.8125 0
0 1.8375 0.2
0 1.8625 0.2
0 1.8875 1
0 1.9125 0.2
0 1.9375 0.2
0 1.9625 1.2
0 1.9875 0.2
7 0.0125 0
7 0.0375 0
7 0.0625 0
7 0.0875 0
7 0.1125 0.6
7 0.1375 4.4
7 0.1625 12.6
7 0.1875 29.2
7 0.2125 45.4
7 0.2375 80
7 0.2625 130.6
7 0.2875 204.2
7 0.3125 262.8
7 0.3375 191
7 0.3625 86.4
7 0.3875 24.4
7 0.4125 6
7 0.4375 5.2
7 0.4625 2.6
7 0.4875 1.6
7 0.5125 1.2
7 0.5375 1.2
7 0.5625 1.4
7 0.5875 2.4
7 0.6125 0.8
7 0.6375 0.8
7 0.6625 1.6
7 0.6875 1.4
7 0.7125 3
7 0.7375 2.8
7 0.7625 2.6
7 0.7875 2.2
7 0.8125 2.2
7 0.8375 3.4
7 0.8625 5
7 0.8875 8.6
7 0.9125 8.4
7 0.9375 12
7 0.9625 12.2
7 0.9875 13
7 1.0125 18
7 1.0375 14
7 1.0625 14.2
7 1.0875 15.4
7 1.1125 17.8
7 1.1375 17.2
7 1.1625 17.8
7 1.1875 17.2
7 1.2125 14.4
7 1.2375 12.4
7 1.2625 14
7 1.2875 7.6
7 1.3125 6
7 1.3375 6.8
7 1.3625 6.2
7 1.3875 5.4
7 1.4125 4.4
7 1.4375 5.8
7 1.4625 5
7 1.4875 6.6
7 1.5125 4.4
7 1.5375 2.6
7 1.5625 3.6
7 1.5875 1.6
7 1.6125 2.6
7 1.6375 1
7 1.6625 1.8
7 1.6875 2
7 1.7125 1.4
7 1.7375 0.6
7 1.7625 0.6
7 1.7875 0.2
7 1.8125 0.4
7 1.8375 0.4
7 1.8625 0
7 1.8875 0.2
7 1.9125 0.6
7 1.9375 0.2
7 1.9625 0.4
7 1.9875 0
14 0.0125 0
14 0.0375 0
14 0.0625 0
14 0.0875 0
14 0.1125 0.2
14 0.1375 3.8
14 0.1625 9.8
14 0.1875 20
14 0.2125 43.4
14 0.2375 79.6
14 0.2625 138
14 0.2875 200.6
14 0.3125 221.6
14 0.3375 155.8
14 0.3625 65
14 0.3875 17.6
14 0.4125 5.2
14 0.4375 3.6
14 0.4625 5
14 0.4875 0.8
14 0.5125 1.4
14 0.5375 2.2
14 0.5625 1
14 0.5875 0.4
14 0.6125 1.8
14 0.6375 1.2
14 0.6625 2.2
14 0.6875 0.8
14 0.7125 4.4
14 0.7375 2.2
14 0.7625 3.4
14 0.7875 3.8
14 0.8125 5.4
14 0.8375 3.6
14 0.8625 6.6
14 0.8875 5.4
14 0.9125 8.6
14 0.9375 8
14 0.9625 16.4
14 0.9875 11.4
14 1.0125 16.8
14 1.0375 15.6
14 1.0625 16.2
14 1.0875 18.2
14 1.1125 17.8
14 1.1375 12.4
14 1.1625 17.8
14 1.1875 16.6
14 1.2125 13.4
14 1.2375 13.4
14 1.2625 10.2
14 1.2875 9.2
14 1.3125 6.8
14 1.3375 9.8
14 1.3625 5.8
14 1.3875 5.4
14 1.4125 5.8
14 1.4375 5
14 1.4625 3.8
14 1.4875 5.2
14 1.5125 4.8
14 1.5375 3.8
14 1.5625 4.2
14 1.5875 2.4
14 1.6125 2.8
14 1.6375 2
14 1.6625 1
14 1.6875 1.6
14 1.7125 0.4
14 1.7375 1.2
14 1.7625 0.2
14 1.7875 0.4
14 1.8125 0
14 1.8375 0
14 1.8625 0
14 1.8875 0
14 1.9125 0
14 1.9375 0
14 1.9625 0
14 1.9875 0.2
20 0.0125 0
20 0.0375 0
20 0.0625 0
20 0.0875 0
20 0.1125 0
20 0.1375 4
20 0.1625 10.2
20 0.1875 15.2
20 0.2125 28
20 0.2375 48.8
20 0.2625 70
20 0.2875 110.8
20 0.3125 145
20 0.3375 142.2
20 0.3625 92.4
20 0.3875 27.6
20 0.4125 11.4
20 0.4375 3.6
20 0.4625 2.2
20 0.4875 2
20 0.5125 1.8
20 0.5375 0.8
20 0.5625 1.2
20 0.5875 0.4
20 0.6125 1
20 0.6375 1.4
20 0.6625 2.2
20 0.6875 1.4
20 0.7125 0.8
20 0.7375 0.8
