"x" "y" "z"
0 0 100
1 0 101
2 0 102
3 0 103
4 0 104
5 0 105
6 0 105
7 0 106
8 0 107
9 0 108
10 0 109
11 0 110
12 0 110
13 0 111
14 0 114
15 0 116
16 0 118
17 0 120
18 0 120
19 0 121
20 0 122
21 0 122
22 0 123
23 0 124
24 0 123
25 0 123
26 0 120
27 0 118
28 0 117
29 0 115
30 0 114
31 0 115
32 0 113
33 0 111
34 0 110
35 0 109
36 0 108
37 0 108
38 0 107
39 0 107
40 0 107
41 0 108
42 0 109
43 0 110
44 0 111
45 0 111
46 0 112
47 0 113
48 0 113
49 0 114
50 0 115
51 0 115
52 0 114
53 0 113
54 0 112
55 0 111
56 0 111
57 0 112
58 0 112
59 0 112
60 0 113
61 0 114
62 0 114
63 0 115
64 0 115
65 0 116
66 0 116
67 0 117
68 0 117
69 0 116
70 0 114
71 0 112
72 0 109
73 0 106
74 0 104
75 0 102
76 0 101
77 0 100
78 0 100
79 0 99
80 0 99
81 0 99
82 0 99
83 0 98
84 0 98
85 0 97
86 0 97
0 1 100
1 1 101
2 1 102
3 1 103
4 1 104
5 1 105
6 1 106
7 1 107
8 1 108
9 1 109
10 1 110
11 1 110
12 1 111
13 1 113
14 1 115
15 1 118
16 1 120
17 1 121
18 1 122
19 1 124
20 1 125
21 1 125
22 1 126
23 1 127
24 1 128
25 1 127
26 1 124
27 1 121
28 1 120
29 1 118
30 1 116
31 1 114
32 1 113
33 1 112
34 1 112
35 1 110
36 1 109
37 1 109
38 1 108
39 1 108
40 1 108
41 1 109
42 1 110
43 1 111
44 1 112
45 1 112
46 1 113
47 1 114
48 1 114
49 1 115
50 1 116
51 1 116
52 1 115
53 1 114
54 1 113
55 1 112
56 1 112
57 1 113
58 1 113
59 1 114
60 1 114
61 1 115
62 1 115
63 1 116
64 1 116
65 1 117
66 1 117
67 1 118
68 1 118
69 1 117
70 1 115
71 1 113
72 1 111
73 1 107
74 1 105
75 1 103
76 1 102
77 1 101
78 1 101
79 1 100
80 1 100
81 1 100
82 1 99
83 1 99
84 1 98
85 1 98
86 1 97
0 2 101
1 2 102
2 2 103
3 2 104
4 2 105
5 2 105
6 2 106
7 2 107
8 2 108
9 2 109
10 2 110
11 2 111
12 2 113
13 2 115
14 2 117
15 2 118
16 2 120
17 2 122
18 2 125
19 2 126
20 2 127
21 2 128
22 2 129
23 2 130
24 2 131
25 2 131
26 2 128
27 2 125
28 2 121
29 2 120
30 2 118
31 2 116
32 2 114
33 2 113
34 2 113
35 2 111
36 2 111
37 2 111
38 2 111
39 2 110
40 2 109
41 2 110
42 2 111
43 2 112
44 2 113
45 2 113
46 2 114
47 2 115
48 2 115
49 2 116
50 2 117
51 2 117
52 2 116
53 2 115
54 2 114
55 2 114
56 2 113
57 2 113
58 2 114
59 2 114
60 2 115
61 2 115
62 2 116
63 2 116
64 2 117
65 2 118
66 2 118
67 2 119
68 2 119
69 2 118
70 2 116
71 2 114
72 2 112
73 2 108
74 2 105
75 2 103
76 2 103
77 2 102
78 2 101
79 2 101
80 2 100
81 2 100
82 2 99
83 2 99
84 2 98
85 2 98
86 2 97
0 3 101
1 3 102
2 3 103
3 3 104
4 3 105
5 3 106
6 3 107
7 3 108
8 3 109
9 3 110
10 3 111
11 3 113
12 3 115
13 3 117
14 3 117
15 3 118
16 3 121
17 3 123
18 3 126
19 3 128
20 3 130
21 3 130
22 3 131
23 3 132
24 3 133
25 3 134
26 3 131
27 3 129
28 3 125
29 3 122
30 3 120
31 3 118
32 3 116
33 3 114
34 3 113
35 3 112
36 3 112
37 3 113
38 3 112
39 3 112
40 3 111
41 3 112
42 3 113
43 3 113
44 3 114
45 3 115
46 3 116
47 3 116
48 3 117
49 3 117
50 3 118
51 3 118
52 3 116
53 3 116
54 3 115
55 3 115
56 3 115
57 3 114
58 3 114
59 3 115
60 3 116
61 3 116
62 3 117
63 3 117
64 3 118
65 3 118
66 3 119
67 3 119
68 3 120
69 3 120
70 3 117
71 3 115
72 3 112
73 3 108
74 3 106
75 3 104
76 3 103
77 3 102
78 3 102
79 3 102
80 3 101
81 3 100
82 3 99
83 3 99
84 3 99
85 3 98
86 3 98
0 4 101
1 4 102
2 4 103
3 4 104
4 4 105
5 4 106
6 4 107
7 4 108
8 4 109
9 4 110
10 4 111
11 4 112
12 4 114
13 4 116
14 4 117
15 4 120
16 4 122
17 4 124
18 4 126
19 4 129
20 4 130
21 4 132
22 4 133
23 4 135
24 4 136
25 4 136
26 4 134
27 4 132
28 4 129
29 4 126
30 4 122
31 4 120
32 4 118
33 4 116
34 4 114
35 4 114
36 4 114
37 4 114
38 4 114
39 4 113
40 4 113
41 4 114
42 4 115
43 4 116
44 4 116
45 4 117
46 4 117
47 4 117
48 4 118
49 4 118
50 4 119
51 4 119
52 4 118
53 4 117
54 4 116
55 4 116
56 4 115
57 4 115
58 4 116
59 4 116
60 4 116
61 4 117
62 4 117
63 4 118
64 4 118
65 4 119
66 4 120
67 4 120
68 4 120
69 4 120
70 4 119
71 4 116
72 4 113
73 4 109
74 4 106
75 4 104
76 4 104
77 4 103
78 4 102
79 4 102
80 4 101
81 4 101
82 4 100
83 4 99
84 4 99
85 4 99
86 4 98
0 5 101
1 5 102
2 5 103
3 5 104
4 5 105
5 5 106
6 5 107
7 5 108
8 5 109
9 5 110
10 5 111
11 5 111
12 5 113
13 5 115
14 5 118
15 5 121
16 5 123
17 5 125
18 5 127
19 5 129
20 5 131
21 5 133
22 5 135
23 5 137
24 5 138
25 5 138
26 5 137
27 5 134
28 5 132
29 5 130
30 5 127
31 5 122
32 5 120
33 5 118
34 5 116
35 5 116
36 5 116
37 5 116
38 5 115
39 5 113
40 5 114
41 5 115
42 5 116
43 5 117
44 5 117
45 5 118
46 5 118
47 5 119
48 5 119
49 5 119
50 5 120
51 5 120
52 5 119
53 5 118
54 5 117
55 5 117
56 5 116
57 5 116
58 5 117
59 5 117
60 5 117
61 5 118
62 5 119
63 5 119
64 5 119
65 5 120
66 5 121
67 5 121
68 5 121
69 5 121
70 5 119
71 5 116
72 5 113
73 5 110
74 5 107
75 5 105
76 5 105
77 5 103
78 5 103
79 5 103
80 5 102
81 5 101
82 5 100
83 5 100
84 5 99
85 5 99
86 5 99
0 6 101
1 6 102
2 6 103
3 6 104
4 6 105
5 6 106
6 6 107
7 6 108
8 6 109
9 6 110
10 6 111
11 6 113
12 6 114
13 6 116
14 6 119
15 6 121
16 6 124
17 6 126
18 6 128
19 6 130
20 6 133
21 6 135
22 6 137
23 6 138
24 6 140
25 6 140
26 6 139
27 6 137
28 6 135
29 6 133
30 6 131
31 6 127
32 6 122
33 6 120
34 6 118
35 6 118
36 6 117
37 6 117
38 6 116
39 6 115
40 6 116
41 6 116
42 6 117
43 6 118
44 6 118
45 6 118
46 6 119
47 6 119
48 6 120
49 6 120
50 6 121
51 6 121
52 6 120
53 6 119
54 6 119
55 6 118
56 6 117
57 6 117
58 6 118
59 6 119
60 6 118
61 6 118
62 6 118
63 6 119
64 6 120
65 6 122
66 6 123
67 6 123
68 6 123
69 6 122
70 6 120
71 6 117
72 6 113
73 6 110
74 6 108
75 6 106
76 6 105
77 6 104
78 6 103
79 6 103
80 6 102
81 6 101
82 6 101
83 6 100
84 6 100
85 6 99
86 6 99
0 7 100
1 7 101
2 7 102
3 7 103
4 7 104
5 7 105
6 7 106
7 7 107
8 7 108
9 7 109
10 7 110
11 7 112
12 7 114
13 7 117
14 7 119
15 7 122
16 7 124
17 7 127
18 7 129
19 7 131
20 7 134
21 7 136
22 7 138
23 7 140
24 7 142
25 7 142
26 7 142
27 7 140
28 7 138
29 7 136
30 7 133
31 7 129
32 7 125
33 7 122
34 7 120
35 7 119
36 7 118
37 7 118
38 7 117
39 7 116
40 7 117
41 7 117
42 7 118
43 7 119
44 7 119
45 7 120
46 7 120
47 7 120
48 7 121
49 7 121
50 7 121
51 7 122
52 7 121
53 7 120
54 7 120
55 7 120
56 7 119
57 7 119
58 7 120
59 7 120
60 7 120
61 7 120
62 7 120
63 7 120
64 7 123
65 7 123
66 7 124
67 7 124
68 7 124
69 7 123
70 7 121
71 7 119
72 7 114
73 7 112
74 7 108
75 7 106
76 7 106
77 7 104
78 7 104
79 7 103
80 7 102
81 7 102
82 7 101
83 7 101
84 7 100
85 7 100
86 7 99
0 8 100
1 8 101
2 8 102
3 8 103
4 8 104
5 8 105
6 8 106
7 8 107
8 8 108
9 8 109
10 8 110
11 8 112
12 8 115
13 8 117
14 8 120
15 8 122
16 8 125
17 8 127
18 8 130
19 8 132
20 8 135
21 8 137
22 8 139
23 8 142
24 8 144
25 8 144
26 8 144
27 8 142
28 8 140
29 8 138
30 8 136
31 8 132
32 8 129
33 8 126
34 8 123
35 8 120
36 8 120
37 8 119
38 8 119
39 8 118
40 8 119
41 8 119
42 8 120
43 8 120
44 8 120
45 8 121
46 8 122
47 8 122
48 8 123
49 8 123
50 8 123
51 8 123
52 8 122
53 8 123
54 8 122
55 8 122
56 8 121
57 8 122
58 8 122
59 8 122
60 8 123
61 8 123
62 8 123
63 8 124
64 8 125
65 8 125
66 8 126
67 8 126
68 8 125
69 8 124
70 8 122
71 8 120
72 8 116
73 8 113
74 8 109
75 8 107
76 8 106
77 8 105
78 8 104
79 8 104
80 8 103
81 8 102
82 8 102
83 8 101
84 8 101
85 8 100
86 8 100
0 9 100
1 9 101
2 9 102
3 9 103
4 9 103
5 9 104
6 9 105
7 9 106
8 9 107
9 9 108
10 9 110
11 9 114
12 9 117
13 9 119
14 9 121
15 9 123
16 9 126
17 9 128
