"x" "y" "z"
0 0 100
1 0 101
2 0 102
3 0 103
4 0 104
5 0 105
6 0 105
7 0 106
8 0 107
9 0 108
10 0 109
11 0 110
12 0 110
13 0 111
14 0 114
15 0 116
16 0 118
17 0 120
18 0 120
19 0 121
20 0 122
21 0 122
22 0 123
23 0 124
24 0 123
25 0 123
26 0 120
27 0 118
28 0 117
29 0 115
30 0 114
31 0 115
32 0 113
33 0 111
34 0 110
35 0 109
36 0 108
37 0 108
38 0 107
39 0 107
40 0 107
41 0 108
42 0 109
43 0 110
44 0 111
45 0 111
46 0 112
47 0 113
48 0 113
49 0 114
50 0 115
51 0 115
52 0 114
53 0 113
54 0 112
55 0 111
56 0 111
57 0 112
58 0 112
59 0 112
60 0 113
61 0 114
62 0 114
63 0 115
64 0 115
65 0 116
66 0 116
67 0 117
68 0 117
69 0 116
70 0 114
71 0 112
72 0 109
73 0 106
74 0 104
75 0 102
76 0 101
77 0 100
78 0 100
79 0 99
80 0 99
81 0 99
82 0 99
83 0 98
84 0 98
85 0 97
86 0 97
0 1 100
5 1 105
10 1 110
15 1 118
20 1 125
25 1 127
30 1 116
35 1 110
40 1 108
45 1 112
50 1 116
55 1 112
60 1 114
65 1 117
70 1 115
75 1 103
80 1 100
0 2 101
5 2 105
10 2 110
15 2 118
20 2 127
25 2 131
30 2 118
35 2 111
40 2 109
45 2 113
50 2 117
55 2 114
60 2 115
65 2 118
70 2 116
75 2 103
80 2 100
0 3 101
5 3 106
10 3 111
15 3 118
20 3 130
25 3 134
30 3 120
35 3 112
40 3 111
45 3 115
50 3 118
55 3 115
60 3 116
65 3 118
70 3 117
75 3 104
80 3 101
0 4 101
5 4 106
10 4 111
15 4 120
20 4 130
25 4 136
30 4 122
35 4 114
40 4 113
45 4 117
50 4 119
55 4 116
60 4 116
65 4 119
70 4 119
75 4 104
80 4 101
0 5 101
1 5 102
2 5 103
3 5 104
4 5 105
5 5 106
6 5 107
7 5 108
8 5 109
9 5 110
10 5 111
11 5 111
12 5 113
13 5 115
14 5 118
15 5 121
16 5 123
17 5 125
18 5 127
19 5 129
20 5 131
21 5 133
22 5 135
23 5 137
24 5 138
25 5 138
26 5 137
27 5 134
28 5 132
29 5 130
30 5 127
31 5 122
32 5 120
33 5 118
34 5 116
35 5 116
36 5 116
37 5 116
38 5 115
39 5 113
40 5 114
41 5 115
42 5 116
43 5 117
44 5 117
45 5 118
46 5 118
47 5 119
48 5 119
49 5 119
50 5 120
51 5 120
52 5 119
53 5 118
54 5 117
55 5 117
56 5 116
57 5 116
58 5 117
59 5 117
60 5 117
61 5 118
62 5 119
63 5 119
64 5 119
65 5 120
66 5 121
67 5 121
68 5 121
69 5 121
70 5 119
71 5 116
72 5 113
73 5 110
74 5 107
75 5 105
76 5 105
77 5 103
78 5 103
79 5 103
80 5 102
81 5 101
82 5 100
83 5 100
84 5 99
85 5 99
86 5 99
0 6 101
5 6 106
10 6 111
15 6 121
20 6 133
25 6 140
30 6 131
35 6 118
40 6 116
45 6 118
50 6 121
55 6 118
60 6 118
65 6 122
70 6 120
75 6 106
80 6 102
0 7 100
5 7 105
10 7 110
15 7 122
20 7 134
25 7 142
30 7 133
35 7 119
40 7 117
45 7 120
50 7 121
55 7 120
60 7 120
65 7 123
70 7 121
75 7 106
80 7 102
0 8 100
5 8 105
10 8 110
15 8 122
20 8 135
25 8 144
30 8 136
35 8 120
40 8 119
45 8 121
50 8 123
55 8 122
60 8 123
65 8 125
70 8 122
75 8 107
80 8 103
0 9 100
5 9 104
10 9 110
15 9 123
20 9 136
25 9 147
30 9 138
35 9 124
40 9 120
45 9 124
50 9 126
55 9 125
60 9 129
65 9 128
70 9 123
75 9 108
80 9 103
0 10 101
1 10 102
2 10 103
3 10 103
4 10 104
5 10 104
6 10 105
7 10 106
8 10 108
9 10 110
10 10 112
11 10 116
12 10 119
13 10 121
14 10 124
15 10 125
16 10 127
17 10 130
18 10 132
19 10 135
20 10 137
21 10 140
22 10 143
23 10 147
24 10 149
25 10 149
26 10 149
27 10 147
28 10 145
29 10 143
30 10 141
31 10 139
32 10 136
33 10 133
34 10 131
35 10 128
36 10 125
37 10 122
38 10 121
39 10 122
40 10 122
41 10 122
42 10 123
43 10 125
44 10 125
45 10 126
46 10 127
47 10 127
48 10 127
49 10 128
50 10 128
51 10 128
52 10 129
53 10 129
54 10 130
55 10 131
56 10 131
57 10 132
58 10 132
59 10 133
60 10 133
61 10 133
62 10 132
63 10 132
64 10 131
65 10 131
66 10 130
67 10 129
68 10 128
69 10 126
70 10 125
71 10 124
72 10 121
73 10 117
74 10 111
75 10 109
76 10 108
77 10 106
78 10 105
79 10 104
80 10 103
81 10 102
82 10 101
83 10 101
84 10 100
85 10 100
86 10 100
0 11 101
5 11 105
10 11 114
15 11 128
20 11 140
25 11 151
30 11 143
35 11 131
40 11 125
45 11 128
50 11 131
55 11 134
60 11 137
65 11 134
70 11 127
75 11 111
80 11 103
0 12 102
5 12 105
10 12 118
15 12 130
20 12 143
25 12 154
30 12 146
35 12 136
40 12 128
45 12 131
50 12 134
55 12 137
60 12 140
65 12 137
70 12 129
75 12 112
80 12 102
0 13 102
5 13 106
10 13 121
15 13 134
20 13 147
25 13 157
30 13 148
35 13 140
40 13 132
45 13 135
50 13 136
55 13 139
60 13 142
65 13 141
70 13 133
75 13 110
80 13 103
0 14 102
5 14 106
10 14 123
15 14 141
20 14 154
25 14 160
30 14 151
35 14 142
40 14 137
45 14 139
50 14 139
55 14 142
60 14 144
65 14 145
70 14 136
75 14 109
80 14 103
0 15 102
1 15 103
2 15 104
3 15 105
4 15 106
5 15 107
6 15 109
7 15 113
8 15 116
9 15 120
10 15 125
11 15 129
12 15 133
13 15 137
14 15 143
15 15 147
16 15 149
17 15 151
18 15 152
19 15 154
20 15 158
21 15 161
22 15 164
23 15 165
24 15 164
25 15 164
26 15 163
27 15 163
28 15 160
29 15 157
30 15 154
31 15 151
32 15 149
33 15 147
34 15 145
35 15 145
36 15 144
37 15 143
38 15 141
39 15 140
40 15 141
41 15 141
42 15 141
43 15 141
44 15 141
45 15 142
46 15 142
47 15 142
48 15 142
49 15 142
50 15 142
51 15 142
52 15 143
53 15 143
54 15 143
55 15 144
56 15 144
57 15 145
58 15 146
59 15 146
60 15 146
61 15 147
62 15 148
63 15 148
64 15 148
65 15 148
66 15 145
67 15 143
68 15 142
69 15 140
70 15 134
71 15 128
72 15 123
73 15 117
74 15 112
75 15 108
76 15 106
77 15 105
78 15 105
79 15 104
80 15 104
81 15 103
82 15 102
83 15 101
84 15 100
85 15 100
86 15 99
0 16 103
5 16 109
10 16 127
15 16 152
20 16 162
25 16 168
30 16 157
35 16 147
40 16 144
45 16 144
50 16 145
55 16 146
60 16 149
65 16 149
70 16 134
75 16 108
80 16 103
0 17 104
5 17 110
10 17 129
15 17 156
20 17 166
25 17 171
30 17 160
35 17 150
40 17 146
45 17 146
50 17 149
55 17 148
60 17 150
65 17 150
70 17 136
75 17 108
80 17 102
0 18 103
5 18 110
10 18 133
15 18 160
20 18 171
25 18 174
30 18 164
35 18 153
40 18 149
45 18 148
50 18 152
55 18 150
60 18 150
65 18 150
70 18 138
75 18 108
80 18 101
0 19 102
5 19 112
10 19 137
15 19 165
20 19 174
25 19 178
30 19 168
35 19 157
40 19 152
45 19 151
50 19 157
55 19 152
60 19 150
65 19 150
70 19 138
75 19 109
80 19 101
0 20 101
1 20 102
2 20 104
3 20 106
4 20 109
5 20 113
6 20 118
7 20 122
8 20 127
9 20 133
10 20 141
11 20 149
12 20 155
13 20 161
14 20 165
15 20 168
16 20 170
17 20 172
18 20 175
19 20 176
20 20 177
21 20 179
22 20 181
23 20 181
24 20 181
25 20 180
26 20 180
27 20 179
28 20 177
29 20 174
30 20 171
31 20 167
32 20 165
33 20 163
34 20 161
35 20 160
36 20 160
37 20 160
38 20 160
39 20 160
40 20 157
41 20 155
42 20 155
43 20 154
44 20 154
45 20 155
46 20 157
47 20 159
48 20 161
49 20 161
50 20 161
51 20 159
52 20 156
53 20 154
54 20 154
55 20 153
56 20 151
57 20 150
58 20 150
59 20 150
60 20 150
61 20 150
62 20 150
63 20 150
64 20 150
65 20 150
66 20 149
67 20 147
68 20 144
69 20 141
70 20 137
71 20 133
72 20 129
73 20 123
74 20 116
75 20 110
76 20 107
77 20 104
78 20 102
79 20 102
80 20 101
81 20 101
82 20 101
83 20 100
84 20 100
85 20 100
86 20 100
0 21 101
5 21 115
10 21 143
15 21 170
20 21 181
25 21 181
30 21 174
35 21 165
40 21 162
45 21 160
50 21 163
55 21 153
60 21 150
65 21 150
70 21 137
75 21 112
80 21 102
0 22 102
5 22 116
10 22 145
15 22 174
20 22 186
25 22 181
30 22 178
35 22 170
40 22 166
45 22 164
50 22 164
55 22 153
60 22 150
65 22 150
70 22 135
75 22 116
80 22 103
0 23 103
5 23 118
10 23 146
15 23 176
20 23 189
25 23 182
30 23 178
35 23 174
40 23 168
45 23 165
50 23 166
55 23 153
60 23 150
65 23 150
70 23 133
75 23 117
80 23 104
0 24 104
5 24 119
10 24 148
15 24 179
20 24 190
25 24 183
30 24 179
35 24 178
40 24 171
45 24 168
50 24 168
55 24 153
60 24 150
65 24 148
70 24 132
75 24 117
80 24 106
0 25 104
1 25 106
2 25 110
3 25 114
4 25 118
5 25 121
6 25 125
7 25 129
8 25 135
9 25 142
10 25 150
11 25 157
12 25 162
13 25 167
14 25 173
15 25 180
16 25 183
17 25 186
18 25 188
19 25 190
20 25 190
21 25 190
22 25 189
23 25 184
24 25 183
25 25 181
